zip,income_household_median,,,,,,,,,,,,,
01031,42.32782,,,,,,,,,,,,,
01032,42.45313,,,,,,,,,,,,,
01033,42.26082,,,,,,,,,,,,,
01034,42.0826,,,,,,,,,,,,,
01035,42.35563,,,,,,,,,,,,,
01036,42.0638,,,,,,,,,,,,,
01037,42.37063,,,,,,,,,,,,,
01038,42.38466,,,,,,,,,,,,,
01039,42.41049,,,,,,,,,,,,,
01040,42.21251,,,,,,,,,,,,,
01050,42.29092,,,,,,,,,,,,,
01053,42.35205,,,,,,,,,,,,,
01054,42.47381,,,,,,,,,,,,,
01056,42.19211,,,,,,,,,,,,,
01057,42.09118,,,,,,,,,,,,,
01060,42.32218,,,,,,,,,,,,,
01062,42.32146,,,,,,,,,,,,,
01063,42.31962,,,,,,,,,,,,,
01066,42.40742,,,,,,,,,,,,,
01068,42.35125,,,,,,,,,,,,,
01069,42.18798,,,,,,,,,,,,,
01070,42.51958,,,,,,,,,,,,,
01071,42.16029,,,,,,,,,,,,,
01072,42.46327,,,,,,,,,,,,,
01073,42.23084,,,,,,,,,,,,,
01074,42.3837,,,,,,,,,,,,,
01075,42.25672,,,,,,,,,,,,,
01077,42.05441,,,,,,,,,,,,,
01079,42.18508,,,,,,,,,,,,,
01080,42.18228,,,,,,,,,,,,,
01081,42.06232,,,,,,,,,,,,,
01082,42.29816,,,,,,,,,,,,,
01083,42.20652,,,,,,,,,,,,,
01084,42.38589,,,,,,,,,,,,,
01085,42.15375,,,,,,,,,,,,,
01088,42.38981,,,,,,,,,,,,,
01089,42.12532,,,,,,,,,,,,,
01092,42.20008,,,,,,,,,,,,,
01093,42.44335,,,,,,,,,,,,,
01094,42.36481,,,,,,,,,,,,,
01095,42.12763,,,,,,,,,,,,,
01096,42.40968,,,,,,,,,,,,,
01097,42.17722,,,,,,,,,,,,,
01098,42.39551,,,,,,,,,,,,,
01103,42.10443,,,,,,,,,,,,,
01104,42.13326,,,,,,,,,,,,,
01105,42.09911,,,,,,,,,,,,,
01106,42.04877,,,,,,,,,,,,,
01107,42.12116,,,,,,,,,,,,,
01108,42.0814,,,,,,,,,,,,,
01109,42.11839,,,,,,,,,,,,,
01118,42.09476,,,,,,,,,,,,,
01119,42.12452,,,,,,,,,,,,,
01128,42.09497,,,,,,,,,,,,,
01129,42.1211,,,,,,,,,,,,,
01144,42.10189,,,,,,,,,,,,,
01151,42.15294,,,,,,,,,,,,,
01201,42.45614,,,,,,,,,,,,,
01220,42.62686,,,,,,,,,,,,,
01222,42.06242,,,,,,,,,,,,,
01223,42.31118,,,,,,,,,,,,,
01224,42.50622,,,,,,,,,,,,,
01225,42.56385,,,,,,,,,,,,,
01226,42.47954,,,,,,,,,,,,,
01229,42.29411,,,,,,,,,,,,,
01230,42.18197,,,,,,,,,,,,,
01235,42.43181,,,,,,,,,,,,,
01236,42.26923,,,,,,,,,,,,,
01237,42.5529,,,,,,,,,,,,,
01238,42.30072,,,,,,,,,,,,,
01240,42.37567,,,,,,,,,,,,,
01242,42.3334,,,,,,,,,,,,,
01243,42.34752,,,,,,,,,,,,,
01244,42.10924,,,,,,,,,,,,,
01245,42.19043,,,,,,,,,,,,,
01247,42.69813,,,,,,,,,,,,,
01253,42.20751,,,,,,,,,,,,,
01254,42.37972,,,,,,,,,,,,,
01255,42.1068,,,,,,,,,,,,,
01256,42.59627,,,,,,,,,,,,,
01257,42.0976,,,,,,,,,,,,,
01258,42.09396,,,,,,,,,,,,,
01259,42.07316,,,,,,,,,,,,,
01260,42.26663,,,,,,,,,,,,,
01262,42.30433,,,,,,,,,,,,,
01264,42.23997,,,,,,,,,,,,,
01266,42.30264,,,,,,,,,,,,,
01267,42.66593,,,,,,,,,,,,,
01270,42.51297,,,,,,,,,,,,,
01301,42.62375,,,,,,,,,,,,,
01330,42.51772,,,,,,,,,,,,,
01331,42.56793,,,,,,,,,,,,,
01337,42.69512,,,,,,,,,,,,,
01338,42.5814,,,,,,,,,,,,,
01339,42.61099,,,,,,,,,,,,,
01340,42.68805,,,,,,,,,,,,,
01341,42.50734,,,,,,,,,,,,,
01342,42.54384,,,,,,,,,,,,,
01343,42.66766,,,,,,,,,,,,,
01344,42.60756,,,,,,,,,,,,,
01346,42.6706,,,,,,,,,,,,,
01347,42.56027,,,,,,,,,,,,,
01349,42.56656,,,,,,,,,,,,,
01350,42.72259,,,,,,,,,,,,,
01351,42.54162,,,,,,,,,,,,,
01354,42.63282,,,,,,,,,,,,,
01355,42.45101,,,,,,,,,,,,,
01360,42.67575,,,,,,,,,,,,,
01364,42.60449,,,,,,,,,,,,,
01366,42.48858,,,,,,,,,,,,,
01367,42.69674,,,,,,,,,,,,,
01368,42.67815,,,,,,,,,,,,,
01370,42.59607,,,,,,,,,,,,,
01373,42.47292,,,,,,,,,,,,,
01375,42.46475,,,,,,,,,,,,,
01376,42.59273,,,,,,,,,,,,,
01378,42.67711,,,,,,,,,,,,,
01379,42.54149,,,,,,,,,,,,,
01380,42.58675,,,,,,,,,,,,,
01420,42.58559,,,,,,,,,,,,,
01430,42.66069,,,,,,,,,,,,,
01431,42.67652,,,,,,,,,,,,,
01432,42.56351,,,,,,,,,,,,,
01434,42.53149,,,,,,,,,,,,,
01436,42.60579,,,,,,,,,,,,,
01438,42.56028,,,,,,,,,,,,,
01440,42.58797,,,,,,,,,,,,,
01450,42.61368,,,,,,,,,,,,,
01451,42.50005,,,,,,,,,,,,,
01452,42.48378,,,,,,,,,,,,,
01453,42.51961,,,,,,,,,,,,,
01460,42.53503,,,,,,,,,,,,,
01462,42.58994,,,,,,,,,,,,,
01463,42.67126,,,,,,,,,,,,,
01464,42.57411,,,,,,,,,,,,,
01468,42.55324,,,,,,,,,,,,,
01469,42.66514,,,,,,,,,,,,,
01473,42.55122,,,,,,,,,,,,,
01474,42.67088,,,,,,,,,,,,,
01475,42.66675,,,,,,,,,,,,,
01501,42.19689,,,,,,,,,,,,,
01503,42.38378,,,,,,,,,,,,,
01504,42.0399,,,,,,,,,,,,,
01505,42.35633,,,,,,,,,,,,,
01506,42.19364,,,,,,,,,,,,,
01507,42.13509,,,,,,,,,,,,,
01510,42.4119,,,,,,,,,,,,,
01515,42.20328,,,,,,,,,,,,,
01516,42.0528,,,,,,,,,,,,,
01518,42.11342,,,,,,,,,,,,,
01519,42.20077,,,,,,,,,,,,,
01520,42.33685,,,,,,,,,,,,,
01521,42.06012,,,,,,,,,,,,,
01522,42.38142,,,,,,,,,,,,,
01523,42.48176,,,,,,,,,,,,,
01524,42.24919,,,,,,,,,,,,,
01525,42.09899,,,,,,,,,,,,,
01527,42.19228,,,,,,,,,,,,,
01529,42.03906,,,,,,,,,,,,,
01531,42.31929,,,,,,,,,,,,,
01532,42.32314,,,,,,,,,,,,,
01534,42.13991,,,,,,,,,,,,,
01535,42.2695,,,,,,,,,,,,,
01536,42.23189,,,,,,,,,,,,,
01537,42.16177,,,,,,,,,,,,,
01540,42.11649,,,,,,,,,,,,,
01541,42.45649,,,,,,,,,,,,,
01542,42.20241,,,,,,,,,,,,,
01543,42.38482,,,,,,,,,,,,,
01545,42.28419,,,,,,,,,,,,,
01550,42.06039,,,,,,,,,,,,,
01560,42.17496,,,,,,,,,,,,,
01561,42.44581,,,,,,,,,,,,,
01562,42.24715,,,,,,,,,,,,,
01564,42.44124,,,,,,,,,,,,,
01566,42.1047,,,,,,,,,,,,,
01568,42.17694,,,,,,,,,,,,,
01569,42.05895,,,,,,,,,,,,,
01570,42.05206,,,,,,,,,,,,,
01571,42.05501,,,,,,,,,,,,,
01581,42.26815,,,,,,,,,,,,,
01583,42.37034,,,,,,,,,,,,,
01585,42.23762,,,,,,,,,,,,,
01588,42.11837,,,,,,,,,,,,,
01590,42.13387,,,,,,,,,,,,,
01602,42.27219,,,,,,,,,,,,,
01603,42.24373,,,,,,,,,,,,,
01604,42.25085,,,,,,,,,,,,,
01605,42.28979,,,,,,,,,,,,,
01606,42.31367,,,,,,,,,,,,,
01607,42.22684,,,,,,,,,,,,,
01608,42.2621,,,,,,,,,,,,,
01609,42.28592,,,,,,,,,,,,,
01610,42.24645,,,,,,,,,,,,,
01611,42.23945,,,,,,,,,,,,,
01612,42.31037,,,,,,,,,,,,,
01701,42.32195,,,,,,,,,,,,,
01702,42.28242,,,,,,,,,,,,,
01718,42.52165,,,,,,,,,,,,,
01719,42.48837,,,,,,,,,,,,,
01720,42.48397,,,,,,,,,,,,,
01721,42.25726,,,,,,,,,,,,,
01730,42.4995,,,,,,,,,,,,,
01731,42.46422,,,,,,,,,,,,,
01740,42.43616,,,,,,,,,,,,,
01741,42.53001,,,,,,,,,,,,,
01742,42.46221,,,,,,,,,,,,,
01745,42.29155,,,,,,,,,,,,,
01746,42.19775,,,,,,,,,,,,,
01747,42.12477,,,,,,,,,,,,,
01748,42.2255,,,,,,,,,,,,,
01749,42.38868,,,,,,,,,,,,,
01752,42.3494,,,,,,,,,,,,,
01754,42.4264,,,,,,,,,,,,,
01756,42.09301,,,,,,,,,,,,,
01757,42.15723,,,,,,,,,,,,,
01760,42.28436,,,,,,,,,,,,,
01770,42.23416,,,,,,,,,,,,,
01772,42.30144,,,,,,,,,,,,,
01773,42.42572,,,,,,,,,,,,,
01775,42.42983,,,,,,,,,,,,,
01776,42.38456,,,,,,,,,,,,,
01778,42.3583,,,,,,,,,,,,,
01801,42.48694,,,,,,,,,,,,,
01803,42.5028,,,,,,,,,,,,,
01810,42.64669,,,,,,,,,,,,,
01821,42.54999,,,,,,,,,,,,,
01824,42.59156,,,,,,,,,,,,,
01826,42.68323,,,,,,,,,,,,,
01827,42.67643,,,,,,,,,,,,,
01830,42.7959,,,,,,,,,,,,,
01832,42.79099,,,,,,,,,,,,,
01833,42.72409,,,,,,,,,,,,,
01834,42.75198,,,,,,,,,,,,,
